,ERR2731369
DDX11L1,0.0
WASH7P,3.5190350767855985
FAM138A,0.0
FAM138F,0.0
FAM138C,0.0
FAM138D,0.0
TGIF1,49.72226645412324
PRDX6,453.7444585196179
CIC,26.29302752451969
FAM87B,2.0377951438382
LINC00115,3.0938942476705193
LINC01128,7.8701123413748135
FAM41C,0.0
LINC02593,1.427964360326461
LILRA4,0.0
PLEC,50.15128342901536
PLEKHN1,1.3742881749264988
MPP2,3.0225644799878895
CFTR,0.0
C1QB,37.12466837588112
ELN,54.965041554566334
SEPTIN12,0.0
RBM19,23.608016736771322
CCDC120,11.990829968652422
GUCA2A,0.0
INO80D,2.3954065970854574
CCDC34,6.917926526624914
C12orf43,12.203925193725055
LILRB5,0.49740125515245753
CCDC169,1.2814699169959263
CLRN1,0.0
SPDYE17,0.0
LINC01342,0.0
RAD17,13.85602067477067
SH2D3C,7.0331697631594885
ZNF41,7.155145380351371
VPREB1,0.0
VIL1,0.0
MDK,224.94579235922944
AMELX,0.0
ALOX15B,0.08337750612199865
SLC25A1,115.04617672193876
DUSP9,0.26069473603212245
UQCC3,17.444698741308827
MORC4,35.701839795580455
SCNN1D,12.193141237865664
MRTFB,6.098514623732307
SNORD167,21.559040868688218
PUSL1,22.923537126200134
MSRB3,40.54204199674363
FGFR3,0.3806669211679815
EWSR1,294.8112650734602
TMA7,358.11642084685985
SMR3A,0.0
NUPR1,44.40577561900951
OSTF1,79.59892166428877
ORC3,41.23418032398699
MXRA8,684.7419578489919
SERPINC1,0.8821039615050222
SPRED2,46.06253018227164
AK8,3.778079484637992
GALNS,62.985586881582265
FBXW8,18.20831974622495
IKBKG,20.162503808368335
PSME1,148.21384224639144
SETDB1,28.84824584432931
VSTM1,0.0
PAQR3,14.918549302293632
LINC01770,0.0
KIR2DL4,0.0
CARD8,11.472204432625114
PPIP5K2,12.910137162303363
ST18,0.0
IFT81,17.08452295254538
ASAP3,26.740434067155174
CRELD1,40.68286708854952
NLRP2,0.005862076059696145
ZNF232,10.072780595033073
MMP23A,0.0
CAST,125.24925341881807
SCN1A,0.0
AASDH,7.174289327108218
SUMO3,232.37975024833855
CYP21A2,0.03740106222572926
AFP,0.37216593361483985
AFM,0.0
CASP3,63.56530819477369
CALD1,575.2837309417581
TARM1,0.0
IDE,16.507879361516945
DAXX,20.18965687895944
SGCE,102.0503425957153
CNTD1,1.5314078845839423
EBAG9,17.04264912177934
ZNF208,3.1934569757902245
IGF1,11.47563772643588
SLC11A2,44.94034546421845
CD4,7.48551286140459
RMDN2,9.367916567941906
CENPX,56.59248228030659
OGFOD3,25.21422115043691
SLC25A39,160.1466354317914
ELP4,4.276643814658231
C2,21.275302009733466
TSNARE1,11.408816251384781
TDRP,14.876053620621924
ZKSCAN7,1.9373238561724146
RAB5C,250.808243821085
RRAGB,38.6046517266639
RDH13,0.6123813381077953
ULK3,67.51743449160807
GTF2IP20,5.95306057241094
LINC01611,0.0
MGST2,42.62588476660073
YJEFN3,20.001020295184965
FBXO11,45.65126903944731
FAAP20,23.488470191282854
ATG16L1,11.495347963187275
NFIC,39.77223058957353
PBRM1,25.754183164581868
PRDM15,6.666653671763865
ZNF311,0.2934533693560103
KIR2DS1,0.0
CPA4,1.607170245802104
ADCY3,20.410778140675998
HROB,5.028580432163488
PLCH2,0.2138669388499958
TNFSF8,0.4424167995854587
CRCP,42.51696581852661
SARS1,122.17116477724366
SORD,3.970592270941355
RMDN3,50.77540641245037
RNF5,10.798821276661647
COPG2,26.519386087172705
EPN3,0.5543991561360273
BAG6,22.172899485337386
ZNF14,5.004127694039934
ADCY6,49.158330256621
PPP1CC,213.95151608166063
ILF3,120.9568674945704
C19orf44,6.338814866916277
KLF7,12.835276949610074
CHRAC1,36.015446708056515
FOXD3,0.04417836243583652
FKBP8,497.66676921796005
BZW1,80.1939027588484
LRRC28,6.004227994374082
MADD,20.19961198605914
FAM170B,0.0802161336361539
C5orf63,1.7181778301421355
TEK,4.151617857494719
IRS2,17.832599247227556
BOP1,31.606015639248653
EXOC6B,19.854347296730065
C19orf18,8.287860792962933
C4B,0.0
CDHR5,0.502746363165294
INPP5B,22.00578569952334
GLT1D1,0.7376015937478864
LINC01134,0.11596820139407088
LINC01346,0.0
LINC01345,0.0
LINC01777,0.0
LINC01646,0.0
TACC2,6.349787633133979
SHOX2,15.402750336190525
NANOGNB,0.0
EXOG,10.653351943525161
ZNF195,22.64921921129202
ERICH4,0.0
NDRG4,18.194660273835517
VRK2,12.904329750729248
CELF2,117.77731350115559
SEC11C,42.69508789754776
ARID3B,7.415018735838017
POF1B,0.0
KIR2DL2,0.0
LCMT2,3.1871578468331507
JAKMIP2,0.12369941482034225
TRIM14,0.4042320162879042
ARHGEF17,42.692209467368365
ARHGEF11,22.898872461030265
AIFM3,2.796445941824195
IL24,0.0
SGCZ,0.33901555076017564
DMTN,2.0358987305506497
CYTL1,12.35993546263521
KCNJ16,0.0
LENEP,0.0
ZNF398,10.006376295864323
PNISR,47.99115093384378
ALPK3,1.2163292401003758
ALKBH6,26.57479681223522
CTNND1,0.8824015228113771
BCL2L13,33.26272073833097
DMD,1.948068428910186
MUC4,0.012210251849467422
FSCN2,2.5782452063920998
EIF4G1,165.3826995271084
PPP2R5E,17.566149264345217
NAA16,15.890869196589401
KIR2DS2,0.0
GPS2,131.760388166224
THAP3,12.796146733635942
DLC1,20.18299255608262
SORBS1,1.2013794831961064
STK31,0.12213106507754322
CD160,2.4356258196587643
DUX4,0.0
ZNRD1,6.150453354006003
KIR3DS1,0.0
RHEBL1,5.381074060496517
RPL10,1282.2958886352485
ANK2,10.954039244344715
ROBO4,18.161257704299597
TSEN2,9.394525389257632
USP30,12.739206293760539
KDM6A,16.810015204924863
USHBP1,1.8037444551492139
PRH1,0.05807335277609706
EVX1,0.0
SLC8A1,1.1235512175264755
RCC1,39.24612755837353
GMPR2,41.057751886916776
MMS22L,3.206668349868806
